yagni_json_encoder,36271021.94,2,1.0.0,11595,https://github.com/ianks/yagni_json_encoder
ya_gpio,0,1,0.1.0,2587,https://github.com/nagius/ya_gpio
yagraphlib,46544109.066,2,1.2.0,4564,
yahag,0,1,0.0.2,4315,https://github.com/kavu/yahag
yahl7,27252.81742857143,8,0.5.0,18831,https://github.com/mylanconnolly/yahl7
yahm,644250.4099444444,19,0.2.3,46238,https://github.com/ubpb/yahm
yahns,8388225.297,31,1.18.0,71360,https://yhbt.net/yahns.git/about/
yahomesick,1026.949,2,0.1.1,6842,http://github.com/muratayusuke/yahomesick
yahoo,4944610.667666667,4,2.0.0,27197,http://github.com/davidw/yahoo-gem
yahoo_ads_estimates,26174.986599999997,6,0.1.5,21423,http://github.com/jkrall/yahoo_ads_estimates
yahoo-answers,0,1,0.1.0,8665,http://github.com/felipekk/yahoo-answers-gem
yahoo_answers_scraper,0,1,0.0.2,3627,http://rubygems.org/gems/yahoo_answers
yahoo-api,929236.9556666667,7,0.1.6,37749,https://github.com/shoprev/yahoo-api
yahoo_content_analysis,11310463.2825,7,0.2.1,18563,https://github.com/PRX/yahoo_content_analysis
yahoo-cookbook_version_helper,0,1,0,9753,https://rubygems.org/gems/yahoo-cookbook_version_helper
yahoo_countries_and_provinces,188430.709,3,0.0.3,8313,https://github.com/phenomen2277/yahoo_countries_and_provinces
yahoo_currency,0,1,0.1.0,6425,http://github.com/scottbarr/yahoo_currency/tree/master
yahoofinance,0.0,3,1.2.2,30706,
yahoo_finance,5604.892,2,0.0.2,14172,""
yahoo-finance,39686210.921166666,7,1.2.1,53784,http://hervalicio.us/blog
yahoo_finance_2,0,1,1.0.0,3946,https://github.com/aadamson/yahoo_finance
yahoo_finance_currency,539953.0839999999,4,0.1.4,16334,https://github.com/peertransfer/yahoo_finance_currency
yahoo_finance_lib,7826815.012166667,7,1.0.2,16800,http://polymechanus.com/yahoo_finance-ruby-gem-tutorial/
yahoofinance-symbolsuggest,0,1,0.1.0,3773,""
yahoofinance-typhoeus,0,1,1.0.0,5105,http://github.com/pjlegato/yahoofinance-typhoeus
yahoo_finanza,869691.0771999999,16,0.4.8,34570,https://github.com/cometaworks/yahoo_finanza
yahoofx,1420674.9455,5,0.1.2,15156,https://github.com/lau/yahoofx
yahoo_gemini_client,11314212.135333331,4,0.2.0,15494,http://github.com/g5/yahoo_gemini_client
yahoo-geocode,0.0,3,1.1.1,17444,http://dev.robotcoop.com/Libraries/yahoo-geocode
yahoo-geoplanet,21076533.424,2,0.2.1,8607,http://github.com/mattt/yahoo-geoplanet/
yahoo-group-data,1365315.9719999998,8,1.4.1,24485,https://github.com/wjessop/yahoo-group-data
yahoo-japan-api,0,1,0.1.0,4404,http://github.com/ishidamakot/yahoo-japan-api
yahoo-japanese-analysis,42652349.199,2,0.1.2,14410,https://github.com/rhysd/yahoo-japanese-analysis
yahoojp-auction-api,1283.582,3,0.0.3,8106,https://github.com/sodeyama/yahoojp-auction-api
yahoo_jp_transit,0.0,3,0.1.2,11284,http://yahoojptransit.rubyforge.org
yahoo_keyphrase_api,1343.877,2,0.1.1,8803,""
yahoo-local,2262142.918666667,4,0.1.4,15407,http://github.com/phuphighter/yahoo_local
yahoo_market_calendar,0,1,0.0.1,3288,https://github.com/fughz/yahoo_market_calendar
yahoo-music,0,1,0.1.0,4877,http://yahoo-music.rubyforge.org
yahoo_nba,457871.35349999997,5,0.0.4,14853,https://github.com/jamesjn/yahoo_nba
yahoo_news,53765.6635,3,0.1.2,5167,https://github.com/kubota-ryotaro/yahoo_news
yahoo_parse_api,56143389.430999994,3,1.1.0,8154,""
